topic	query
dx_homocystinuria	(note:(Homocystinuria OR "Classic homocystinuria" OR "Classical homocystinuria" OR "Homocystinuria due to cystathionine beta-synthase deficiency" OR "Homocystinuria due to CBS deficiency" OR "CBS deficiency" OR "CBS mutation" OR "CBS variant" OR "CBS pathogenic" OR "CBS gene mutation" OR "Cystathionine beta-synthase deficiency" OR "Cystathionine beta synthase deficiency" OR "Cystathionine synthase deficiency" OR Hyperhomocysteinemia OR Hyperhomocystinemia OR Homocysteinemia OR Hypermethioninemia) OR (note: cystathionine AND (note: synthase OR note: synthetase)) OR (note: HCU AND note:(homocysteine OR homocystine OR methionine OR cystathionine)))
dx_maple_syrup_urine_disease	(note:("Maple syrup urine disease" OR "Maple-syrup-urine disease" OR MSUD OR "Classic maple syrup urine disease" OR "Classical maple syrup urine disease" OR "Intermediate maple syrup urine disease" OR "Intermittent maple syrup urine disease" OR "Mild maple syrup urine disease" OR "Thiamine-responsive maple syrup urine disease" OR "Thiamin-responsive maple syrup urine disease" OR "Maple syrup urine disease type IA" OR "Maple syrup urine disease type IB" OR "Maple syrup urine disease type II" OR "Maple syrup urine disease type III" OR "BCKDHA deficiency" OR "BCKDHA mutation" OR "BCKDHA variant" OR "BCKDHB deficiency" OR "BCKDHB mutation" OR "BCKDHB variant" OR "DBT deficiency" OR "DBT mutation" OR "DBT variant" OR "DLD deficiency" OR "DLD mutation" OR "DLD variant" OR "Branched-chain ketoacid dehydrogenase deficiency" OR "Branched-chain alpha-ketoacid dehydrogenase deficiency" OR "Branched-chain alpha-keto acid dehydrogenase deficiency" OR "BCKDH deficiency" OR "BCKAD deficiency" OR "Dihydrolipoamide dehydrogenase deficiency" OR "Lipoamide dehydrogenase deficiency" OR "Maple syrup urine disease multiple dehydrogenase form" OR "Pyruvate dehydrogenase E3 deficiency" OR "Branched-chain ketoaciduria") OR (note: "E3 deficiency" AND note:("maple syrup urine" OR "branched-chain" OR dihydrolipoamide OR MSUD)))
dx_molybdenum_cofactor_deficiency	(note:("Molybdenum cofactor deficiency" OR "Molybdenum cofactor deficiency type A" OR "Molybdenum cofactor deficiency type B" OR "Molybdenum cofactor deficiency type C" OR "Molybdenum cofactor deficiency complementation group A" OR "Molybdenum cofactor deficiency complementation group B" OR "Molybdenum cofactor deficiency complementation group C" OR MoCD OR MOCOD OR "Combined molybdoflavoprotein enzyme deficiency" OR "Molybdoflavoprotein deficiency" OR "MOCS1 deficiency" OR "MOCS1 mutation" OR "MOCS1 variant" OR "MOCS2 deficiency" OR "MOCS2 mutation" OR "MOCS2 variant" OR "MOCS3 mutation" OR "MOCS3 variant" OR "GPHN deficiency" OR "GPHN mutation" OR "GPHN variant" OR "Gephyrin deficiency" OR "Sulfite oxidase deficiency due to molybdenum cofactor deficiency" OR "Encephalopathy due to sulfite oxidase deficiency" OR "S-sulfocysteine" OR Sulfocysteinuria) OR (note: molybdenum AND note: cofactor))
dx_nags_deficiency	(note:("N-acetylglutamate synthase deficiency" OR "N-acetylglutamate synthetase deficiency" OR "N acetylglutamate synthase deficiency" OR "NAGS deficiency" OR NAGSD OR "NAGS mutation" OR "NAGS variant" OR "NAGS pathogenic" OR "NAGS gene mutation" OR "Hyperammonemia due to N-acetylglutamate synthase deficiency" OR "Hyperammonemia type III" OR "Hyperammonemia type 3" OR "Congenital hyperammonemia type III") OR (note: acetylglutamate AND (note: synthase OR note: synthetase)))
dx_niemann_pick_disease	(note:("Niemann-Pick disease type B" OR "Niemann-Pick type B" OR "Niemann-Pick disease type A/B" OR "Niemann-Pick disease type A" OR "Niemann-Pick type A" OR "Acid sphingomyelinase deficiency" OR ASMD OR "Acid sphingomyelinase-deficient Niemann-Pick disease" OR "Sphingomyelinase deficiency" OR "Sphingomyelin phosphodiesterase 1 deficiency" OR "Chronic visceral acid sphingomyelinase deficiency" OR "Chronic neurovisceral acid sphingomyelinase deficiency" OR "Infantile neurovisceral acid sphingomyelinase deficiency" OR "SMPD1 deficiency" OR "SMPD1 mutation" OR "SMPD1 variant" OR "SMPD1 pathogenic" OR "SMPD1 gene mutation" OR "Sphingomyelin/cholesterol lipidosis" OR "Sphingomyelin lipidosis" OR Lysosphingomyelin OR "Niemann-Pick disease" OR "Niemann Pick disease" OR "Niemann-Pick's disease") OR ((note: NPA OR note: NPB OR note: "NP-A" OR note: "NP-B") AND note:(Niemann OR sphingomyelinase OR SMPD1))) AND NOT note:("Niemann-Pick disease type C" OR "Niemann-Pick type C" OR "type C" OR NPC1 OR NPC2)
dx_ornithine_transcarbamylase	(note:("Ornithine transcarbamylase deficiency" OR "Ornithine carbamoyltransferase deficiency" OR "Ornithine carbamoyl transferase deficiency" OR "Ornithine transcarbamoylase deficiency" OR "OTC deficiency" OR OTCD OR "OTC mutation" OR "OTC variant" OR "OTC pathogenic" OR "OTC gene mutation" OR "Hyperammonemia due to OTC deficiency" OR "Hyperammonemia due to ornithine transcarbamylase deficiency" OR "Late-onset ornithine transcarbamylase deficiency" OR "Neonatal-onset ornithine transcarbamylase deficiency" OR "Congenital hyperammonemia type II" OR "Congenital hyperammonemia type 2" OR "Hyperammonemia type II" OR "Hyperammonemia type 2") OR (note: ornithine AND (note: transcarbamylase OR note: carbamoyltransferase OR note: transcarbamoylase)) OR ((note: "Orotic aciduria" OR note: Oroticaciduria) AND note:("urea cycle" OR hyperammonemia OR "ornithine transcarbamylase" OR "ornithine carbamoyltransferase")))
dx_phenylketonuria	(note:(Phenylketonuria OR "Classic phenylketonuria" OR "Classical phenylketonuria" OR "Mild phenylketonuria" OR "Tetrahydrobiopterin-responsive phenylketonuria" OR "BH4-responsive phenylketonuria" OR "Maternal phenylketonuria" OR "Maternal PKU" OR "Maternal phenylketonuria syndrome" OR "PAH deficiency" OR "PAH mutation" OR "PAH variant" OR "PAH pathogenic" OR "PAH gene mutation" OR "Phenylalanine hydroxylase deficiency" OR Hyperphenylalaninemia OR "Mild hyperphenylalaninemia" OR "Folling disease") OR (note: PKU AND note:(phenylalanine OR hyperphenylalaninemia OR tetrahydrobiopterin)))
dx_tyrosinemia_type_1	(note:("Tyrosinemia type I" OR "Tyrosinemia type 1" OR "Tyrosinaemia type 1" OR "Hereditary tyrosinemia type 1" OR "Hereditary tyrosinemia type I" OR "Hepatorenal tyrosinemia" OR "Hereditary infantile tyrosinemia" OR "FAH deficiency" OR "FAH mutation" OR "FAH variant" OR "FAH pathogenic" OR "FAH gene mutation" OR "Fumarylacetoacetate hydrolase deficiency" OR "Fumarylacetoacetase deficiency" OR "Hereditary hypertyrosinemia" OR Hypertyrosinemia OR Succinylacetone) OR ((note: HT1 OR note: HTI) AND note:(tyrosinemia OR succinylacetone OR fumarylacetoacetate)))
dx_urea_cycle_disorders	(note:("Urea cycle disorder" OR "Urea cycle defect" OR "Urea cycle enzyme deficiency" OR "Disorder of urea cycle metabolism" OR "Inborn error of urea synthesis" OR "Ornithine transcarbamylase deficiency" OR "Ornithine carbamoyltransferase deficiency" OR "OTC deficiency" OR OTCD OR "OTC mutation" OR "OTC variant" OR "Carbamoyl phosphate synthetase 1 deficiency" OR "Carbamoyl phosphate synthetase I deficiency" OR "CPS1 deficiency" OR "CPS1 mutation" OR "CPS1 variant" OR "Congenital hyperammonemia type I" OR "Citrullinemia type I" OR "Citrullinemia type 1" OR CTLN1 OR "Argininosuccinate synthase deficiency" OR "ASS1 deficiency" OR "ASS1 mutation" OR "ASS1 variant" OR "Argininosuccinic aciduria" OR "Arginosuccinic aciduria" OR "Argininosuccinic acidemia" OR "Argininosuccinate lyase deficiency" OR "Argininosuccinase deficiency" OR "ASL deficiency" OR "ASL mutation" OR "ASL variant" OR ASLD OR Argininemia OR "Arginase deficiency" OR "Arginase 1 deficiency" OR Hyperargininemia OR "ARG1 deficiency" OR "ARG1 mutation" OR "ARG1 variant" OR "N-acetylglutamate synthase deficiency" OR "NAGS deficiency" OR "Hyperammonemia type III" OR "Citrullinemia type II" OR "Citrullinemia type 2" OR CTLN2 OR "Citrin deficiency" OR "Neonatal intrahepatic cholestasis due to citrin deficiency" OR NICCD OR "Adult-onset type II citrullinemia" OR "SLC25A13 mutation" OR "SLC25A13 variant" OR "Hyperornithinemia-hyperammonemia-homocitrullinuria syndrome" OR "HHH syndrome" OR "Ornithine translocase deficiency" OR "Ornithine transporter deficiency" OR "SLC25A15 mutation" OR "SLC25A15 variant") OR ((note: "Orotic aciduria" OR note: Oroticaciduria) AND note:("urea cycle" OR hyperammonemia OR "ornithine transcarbamylase")))
dx_iem_generic_tier1	(note:("inborn error of metabolism" OR "inborn errors of metabolism" OR "inborn metabolic disorder" OR "inborn metabolic disease" OR "inherited metabolic disorder" OR "inherited metabolic disorders" OR "inherited metabolic disease" OR "heritable metabolic disorder" OR "congenital metabolic disorder" OR "organic acidemia" OR "organic acidemias" OR "organic aciduria" OR aminoacidopathy OR aminoacidopathies OR "fatty acid oxidation disorder" OR "fatty acid oxidation disorders" OR "fatty acid oxidation defect" OR "urea cycle disorder" OR "urea cycle disorders" OR "lysosomal storage disorder" OR "lysosomal storage disease" OR "peroxisomal disorder" OR "peroxisomal disease" OR "glycogen storage disease" OR mucopolysaccharidosis OR mucopolysaccharidoses OR sphingolipidosis))
dx_iem_generic_tier2	(note:(("metabolic genetics" OR "metabolic genetics clinic" OR "biochemical genetics" OR "biochemical genetics clinic" OR "metabolic geneticist" OR "genetics and metabolism" OR "metabolic gene panel" OR IEM) AND ("inborn error" OR "inherited metabolic" OR "enzyme deficiency" OR "newborn screen positive" OR "positive newborn screen" OR "abnormal newborn screen" OR "positive newborn screening" OR "abnormal newborn screening" OR "organic acid" OR "organic acids" OR "organic acidemia" OR "organic aciduria" OR acylcarnitine OR acylcarnitines OR hyperammonemia OR hyperammonemic OR "urea cycle" OR "fatty acid oxidation" OR "lysosomal storage" OR "glycogen storage" OR peroxisomal OR "very long chain fatty acids" OR biotinidase)))
dx_iem_generic_tier3	(note:(("mitochondrial disease" OR "mitochondrial disorder" OR leukodystrophy OR "plasma amino acid" OR "plasma amino acids" OR "quantitative amino acids" OR "amino acid analysis" OR "urine organic acid" OR "urine organic acids" OR "organic acid analysis" OR "acylcarnitine profile" OR acylcarnitine OR acylcarnitines OR "plasma acylcarnitines" OR "very long chain fatty acids" OR "free and total carnitine" OR "lactate to pyruvate ratio" OR "metabolic crisis" OR "metabolic decompensation" OR hyperammonemia OR hyperammonemic OR "hypoketotic hypoglycemia") AND ("inborn error" OR "inherited metabolic" OR "metabolic genetics" OR "biochemical genetics" OR "enzyme deficiency" OR "organic acidemia" OR "organic aciduria" OR "fatty acid oxidation" OR "urea cycle" OR "lysosomal storage" OR "glycogen storage" OR peroxisomal OR "abnormal newborn screen" OR "positive newborn screen")))
